unique_name	Home_car_KC05BgC-1	Home_car_KC05T2C-1	Home_car_KC05T3C-1	Home_car_KC06BgP-1	Home_car_KC06T1P-1	Home_car_KC06T2P-1	Home_car_KC06T3P-1	Home_car_KCT0P-1	Home_car_SMM-2-3	Home_car_SY-41	Home_car_WJM-I	Home_car_WX-9	Underarm_1	Underarm_10	Underarm_11	Underarm_12	Underarm_13	Underarm_14	Underarm_15	Underarm_16	Underarm_17	Underarm_18	Underarm_19	Underarm_2	Underarm_20	Underarm_3	Underarm_4	Underarm_5	Underarm_6	Underarm_7	Underarm_8	Underarm_9
Exserohilum_turcica	0	0	0	1.028347353	1.259734323	1.291501075	0.468711505	1.595845308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trichosporon_asahii	0	0	1.7208819	0.174524613	0	0	1.152349937	0.786643233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nectria_haematococca	0	0	0	0.249453541	1.013002801	0.85713298	0.472003254	1.677884905	0	0	0.638898931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_welwitschiae	1.829337529	0	0	0.762930371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bipolaris_sorokiniana	0	0	1.253201911	0.883477012	0	1.57364457	0.965146139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_oryzae	0	0	1.757647902	0.976980946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Penicillium_expansum	0	0	0	0.739288895	1.135643073	1.602069596	0.39528042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aureobasidium_subglaciale	0.994536591	0	0	0.933512232	1.382522299	1.170941368	0.578314402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusarium_graminearum	1.600770579	0	0	0.766755415	0	1.017445222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_fumigatus	1.339821494	0	0	0.625999418	0	1.036084155	0.856509576	0	0	0	1.046176551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parastagonospora_nodorum	0.968254322	0	0	0.837511133	1.15866994	1.022749397	0.581072017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyrenophora_tritici_repentis	0	0	1.201502265	0.851582211	0.791237307	0.968767486	0.58178515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cercospora_beticola	0.076360884	0	1.21629494	0.602536823	0.53682065	0.859630569	0.711895978	0	0.044275069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trichoderma_atroviride	0.995575875	0	0	0.73963766	0	1.205910936	0.81684378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Debaryomyces_fabryi	1.497960073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trichoderma_harzianum	0	0	0	0.690125189	0	0.709364218	0	1.325908709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Byssochlamys_spectabilis	0	0	1.312666985	0.439519284	0	0.887504524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lodderomyces_elongisporus	0	0	0	1.004281582	1.291616545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Moesziomyces_antarcticus	0.773841175	0	0	0.169523522	0	0.948220179	0.449559012	0	0	0	0.916428152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ustilago_maydis	0	0	0	0.834713867	0.776739986	0.829001058	0.662382127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beauveria_bassiana	0.956782942	0	0	0.638278767	0	0.852114052	0.56073199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bipolaris_maydis	1.057840123	0	0	1.078826188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Melampsora_larici_populina	0	0	0	0.646991827	1.206479525	0	0.239543038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyphellophora_europaea	0.775597245	0	0	0.706959731	0	0.810727788	0.671681256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sordaria_macrospora	0	0	0	0.354163229	0.85474984	0.926489966	0.614975507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bipolaris_victoriae	0	0	0	0.759202052	0	1.115778719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraphaeosphaeria_sporulosa	0	0	0	0.673340923	0	0.541015398	0.390682016	0.817706711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clavispora_lusitaniae	0	0	0	1.206990921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trichophyton_rubrum	0	0	0	1.170952685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leptosphaeria_maculans	0	0	0	0	0.713971065	0.891014195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sporisorium_graminicola	1.014320146	0	0	0.032246886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bipolaris_zeicola	0	0	0	1.051382768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Purpureocillium_lilacinum	0	0	0	0.26389845	0	0	0.955338678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_nidulans	0.891581139	0	0	0.47853284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_steynii	0	0	0	0.139946631	0	0	0	0.973389951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trichoderma_citrinoviride	0	0	0	0.289393268	0	0.816062916	0.287732569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colletotrichum_higginsianum	0	0	0	-0.117004288	0.947920887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agaricus_bisporus	0	0	0	0	0	0	0	0	0	0	0.957152096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pestalotiopsis_fici	0	0	0	0	0	0	0	0.894408831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acaromyces_ingoldii	0	0	0	0.322373076	0	0.708519427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schizophyllum_commune	0	0	0	-0.149253235	0.510680308	0	0.405521011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exophiala_xenobiotica	0.634938904	0	0	0.308992085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyricularia_oryzae	0	0	0	0.774539352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Talaromyces_atroroseus	0.773349839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phaeoacremonium_minimum	0	0	0	0.182216068	0	0.454099946	0.183728719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_uvarum	0	0	0	0	0	0.701652393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exophiala_dermatitidis	0	0	0	0.637280543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bipolaris_oryzae	0	0	0	0.611401845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodotorula_graminis	0	0	0	0.586156681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Talaromyces_marneffei	0.561527187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gloeophyllum_trabeum	0.557433496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusarium_venenatum	0	0	0	0.515979359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trametes_versicolor	0.495699874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermothelomyces_thermophilus	0	0	0	0.487175802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exophiala_oligosperma	0.462550571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stereum_hirsutum	0.44965703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sclerotinia_sclerotiorum	0	0	0	0.394848832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diplodia_corticola	0	0	0	0.366708704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phialophora_attae	0	0	0	0.360026869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exophiala_mesophila	0	0	0	0.281475919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tilletiopsis_washingtonensis	0.199528822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trichoderma_gamsii	0	0	0	0.129919403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudozyma_hubeiensis	0	0	0	0.119925798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exophiala_spinifera	0	0	0	0.051985911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
